"日付","Tweets published","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"2020-07-01","0","213","3","0.014084507042253521","0","0","1","0","1","0","0","0","0","0","0","0","0","10","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-02","0","248","16","0.06451612903225806","0","1","6","1","0","0","2","0","0","0","0","0","0","16","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-03","0","326","7","0.02147239263803681","0","0","0","1","0","0","3","0","0","0","0","0","0","17","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-04","0","200","5","0.025","0","0","1","1","0","0","2","0","0","0","0","0","0","30","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-05","0","47","2","0.0425531914893617","0","0","1","0","0","0","0","0","0","0","0","0","0","10","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-06","0","169","12","0.07100591715976332","0","0","0","1","0","0","1","0","0","0","0","0","0","20","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-07","0","169","9","0.05325443786982249","1","0","1","3","0","0","1","0","0","0","0","0","0","12","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-08","0","82","4","0.04878048780487805","0","0","3","0","0","0","0","0","0","0","0","0","0","8","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-09","0","111","7","0.06306306306306306","0","0","3","0","0","0","0","0","0","0","0","0","0","10","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-10","0","158","16","0.10126582278481013","1","0","1","3","1","0","2","0","0","0","0","0","0","26","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-11","0","105","10","0.09523809523809523","0","0","2","0","1","0","0","0","0","0","0","0","0","21","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-12","0","213","7","0.03286384976525822","0","0","2","0","0","0","1","0","0","0","0","0","0","15","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
