"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1322403014913609734","https://twitter.com/haruchannna/status/1322403014913609734","ハッピーハロウィン🎃👻🧟‍♂️ https://t.co/220QAUg3iX","2020-10-31 05:00 +0000","2236.0","465.0","0.20796064400715564","5.0","3.0","300.0","32.0","2.0","0.0","39.0","0.0","0","0","0","0","0","84","84","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322386505864679425","https://twitter.com/haruchannna/status/1322386505864679425","@ue260227 おはようございます☀
風邪などお気をつけてくださいね😆
頑張りましょう！","2020-10-31 03:54 +0000","63.0","2.0","0.031746031746031744","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322275754780971008","https://twitter.com/haruchannna/status/1322275754780971008","お気に入りに包まれながら寝ています😴 https://t.co/N55q7JwHyZ","2020-10-30 20:34 +0000","2120.0","334.0","0.15754716981132075","4.0","2.0","242.0","11.0","0.0","0.0","36.0","0.0","0","0","0","0","0","427","39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322044510939934724","https://twitter.com/haruchannna/status/1322044510939934724","@achabibibi そうなんです、ちょっと心配になるくらい😅","2020-10-30 05:15 +0000","22.0","1.0","0.045454545454545456","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1321948243639504896","https://twitter.com/haruchannna/status/1321948243639504896","みるくは寝てる時これぐらい体が動いちゃいます。走ってる夢見てるのかな🐶 https://t.co/5YoIAJZ4xq","2020-10-29 22:53 +0000","2802.0","534.0","0.1905781584582441","0.0","1.0","296.0","39.0","1.0","0.0","59.0","0.0","0","0","0","0","0","572","138","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1321688103405248512","https://twitter.com/haruchannna/status/1321688103405248512","こんなに広くて兄弟がいたら楽しいんだろうなぁ😆 https://t.co/hI314ykhMf","2020-10-29 05:39 +0000","1332.0","64.0","0.04804804804804805","0.0","0.0","51.0","4.0","0.0","0.0","9.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1321685281418833920","https://twitter.com/haruchannna/status/1321685281418833920","大好きなブッチをたいらげました✨ https://t.co/zIAit9lcWc","2020-10-29 05:28 +0000","3012.0","496.0","0.1646746347941567","6.0","5.0","304.0","50.0","3.0","0.0","75.0","0.0","0","0","0","0","0","665","53","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1321612075333001217","https://twitter.com/haruchannna/status/1321612075333001217","おこぼれ待ちです😆","2020-10-29 00:37 +0000","477.0","8.0","0.016771488469601678","0.0","0.0","8.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1321607360616386560","https://twitter.com/haruchannna/status/1321607360616386560","ママのご飯を待ってるよ🍖
楽しみすぎておすわりしちゃうよ🐶 https://t.co/KOMuadtBKn","2020-10-29 00:18 +0000","2191.0","389.0","0.1775445002282063","7.0","5.0","263.0","34.0","4.0","0.0","27.0","0.0","0","0","0","0","0","464","49","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1321169698751279104","https://twitter.com/haruchannna/status/1321169698751279104","寒いと起きるのが辛いワン💤 https://t.co/E0HSfqjeR8","2020-10-27 19:19 +0000","2437.0","427.0","0.1752154288059089","2.0","7.0","292.0","38.0","2.0","0.0","59.0","0.0","0","0","0","0","0","536","27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
