ツイート本文,ツイート本文_x,時間,いいね,リツイート,インプレッション,エンゲージメント,エンゲージメント率,返信,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,フォローしている,メディアの再生数,メディアのエンゲージメント数,media_exist,reply_flg,文字数,YMD,YEAR,MONTH,DAY,TIME,WEEKDAY,WEEK
@teatime3fairy こちらこそ宜しくお願いします😆, こちらこそ宜しくお願いします😆,2021-03-30 14:34:00+00:00,1.0,0.0,14.0,1.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,16,20210330,2021,3,30,14,1,13
ねむねむむむ🥱 https://t.co/Ggro68dOXM,ねむねむむむ🥱 ,2021-03-30 07:57:00+00:00,216.0,3.0,2654.0,331.0,0.1247174076865109,0.0,44.0,3.0,0.0,29.0,0,463,36,True,False,8,20210330,2021,3,30,7,1,13
"こっちに来るかと思いきや
それちゃって💦
パニック映像になった😂😂 https://t.co/MDTBBDr30f",こっちに来るかと思いきや それちゃって💦 パニック映像になった😂😂 ,2021-03-25 12:07:00+00:00,107.0,0.0,1362.0,199.0,0.1461086637298091,0.0,17.0,4.0,0.0,10.0,0,388,61,True,False,34,20210325,2021,3,25,12,3,12
"@santemafi ありがとうございます😊
頑張りました😆", ありがとうございます😊 頑張りました😆,2021-03-25 02:53:00+00:00,1.0,0.0,35.0,1.0,0.0285714285714285,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,20,20210325,2021,3,25,2,3,12
"@hitomin_rabi 頑張りました😊
この後いっぱいおやつあげました🍭", 頑張りました😊 この後いっぱいおやつあげました🍭,2021-03-25 02:53:00+00:00,1.0,0.0,37.0,2.0,0.054054054054054,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,25,20210325,2021,3,25,2,3,12
"@xtrSy2CC5y4flrZ ありがとうございます😊
頑張りました😆", ありがとうございます😊 頑張りました😆,2021-03-25 02:51:00+00:00,1.0,0.0,24.0,1.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,20,20210325,2021,3,25,2,3,12
@pooh715maru217 今年1のインでした😅, 今年のインでした😅,2021-03-25 02:50:00+00:00,1.0,0.0,35.0,1.0,0.0285714285714285,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,10,20210325,2021,3,25,2,3,12
早くママのとこ行きたいよ😂 https://t.co/6lLCMAliPH,早くママのとこ行きたいよ😂 ,2021-03-23 09:40:00+00:00,307.0,7.0,5243.0,706.0,0.1346557314514591,12.0,95.0,7.0,0.0,129.0,0,1306,149,True,False,14,20210323,2021,3,23,9,1,12
"箱崎に新しくできたペットショップCOO&amp;RIKUの無料ドッグランにて

大はしゃぎのみるくさんです♪ https://t.co/RDk328R61N",箱崎に新しくできたペットショップの無料ドッグランにて  大はしゃぎのみるくさんです♪ ,2021-03-21 01:09:00+00:00,156.0,3.0,2517.0,250.0,0.0993245927691696,0.0,35.0,2.0,0.0,18.0,0,561,36,True,False,43,20210321,2021,3,21,1,6,11
ご飯待ち https://t.co/XLaAtfUMhx,ご飯待ち ,2021-03-19 05:34:00+00:00,206.0,1.0,2573.0,329.0,0.1278663039253789,1.0,29.0,5.0,0.0,43.0,0,476,44,True,False,5,20210319,2021,3,19,5,4,11
