"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1365603301312536580","https://twitter.com/haruchannna/status/1365603301312536580","膝の上でぬくぬく☺️
ぷいッ😑 https://t.co/nNBtgOYqz2","2021-02-27 10:02 +0000","2167.0","302.0","0.1393631748961698","4.0","1.0","191.0","27.0","3.0","0.0","44.0","0.0","0","0","0","0","0","449","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1365317501802872836","https://twitter.com/haruchannna/status/1365317501802872836","おだんごの上より https://t.co/jPFSZSvlKf","2021-02-26 15:07 +0000","1897.0","269.0","0.14180284659989456","2.0","1.0","191.0","15.0","4.0","0.0","23.0","0.0","0","0","0","0","0","421","33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364950317394259980","https://twitter.com/haruchannna/status/1364950317394259980","みるくは鼻の質感と歯がリアルなぬいぐるみでした🧸 https://t.co/UfywwEEyaH https://t.co/U907lheXuz","2021-02-25 14:48 +0000","1380.0","115.0","0.08333333333333333","0.0","0.0","52.0","7.0","0.0","0.0","10.0","0.0","0","0","0","0","0","46","46","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364949754262790153","https://twitter.com/haruchannna/status/1364949754262790153","膝の上が暖かくて眠くなります🥱 https://t.co/460MPniAd1","2021-02-25 14:45 +0000","1459.0","201.0","0.13776559287183002","3.0","0.0","126.0","17.0","1.0","0.0","15.0","0.0","0","0","1","0","0","343","38","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364566835127930889","https://twitter.com/haruchannna/status/1364566835127930889","フルーツちょうだい！🍓 https://t.co/AokX273jWy","2021-02-24 13:24 +0000","2250.0","284.0","0.12622222222222224","6.0","0.0","177.0","30.0","2.0","0.0","17.0","0.0","0","0","0","0","0","450","52","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364199412856070158","https://twitter.com/haruchannna/status/1364199412856070158","すやすや😴 https://t.co/cWIS2RqAeS","2021-02-23 13:04 +0000","2758.0","394.0","0.14285714285714285","1.0","0.0","279.0","25.0","1.0","0.0","45.0","0.0","0","0","0","0","0","723","43","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1363428668815470593","https://twitter.com/haruchannna/status/1363428668815470593","こんばんは。
ネコ目（肉食目）イヌ亜目イヌ下目イヌ科イヌ亜科イヌ属タイリクオオカミ種イエイヌ亜種トイプードルのみるくです。 https://t.co/MMknC6hZIP","2021-02-21 10:01 +0000","1424.0","205.0","0.14396067415730338","5.0","0.0","142.0","16.0","0.0","0.0","14.0","0.0","0","0","0","0","0","376","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1363209726943662080","https://twitter.com/haruchannna/status/1363209726943662080","トントンされる役やるの可愛すぎる😆 https://t.co/SSvElfASUw","2021-02-20 19:31 +0000","1058.0","56.0","0.052930056710775046","1.0","0.0","38.0","7.0","0.0","0.0","10.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1363029911716290563","https://twitter.com/haruchannna/status/1363029911716290563","世界一好きな言葉は「散歩行こっか」です🐶 https://t.co/cbeqfq2t8V","2021-02-20 07:37 +0000","3265.0","501.0","0.1534456355283308","7.0","3.0","260.0","30.0","3.0","0.0","72.0","0.0","0","0","0","0","0","760","126","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1362736481337442304","https://twitter.com/haruchannna/status/1362736481337442304","@yn201803 そうなんです！みるくも技術が上がってきました😄","2021-02-19 12:11 +0000","11.0","1.0","0.09090909090909091","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1362733753517268992","https://twitter.com/haruchannna/status/1362733753517268992","ちょうど良いあご置き。ここあったかいし。の図 https://t.co/5OMQMc8gNR","2021-02-19 12:00 +0000","1716.0","292.0","0.17016317016317017","4.0","0.0","186.0","37.0","0.0","0.0","19.0","0.0","0","0","0","0","0","466","46","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1362719910036525058","https://twitter.com/haruchannna/status/1362719910036525058","@shiba_koume0417 こちらこそ宜しくお願いします🤲","2021-02-19 11:05 +0000","12.0","1.0","0.08333333333333333","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1362643796199018497","https://twitter.com/haruchannna/status/1362643796199018497","@YFRPq0gxMehU1bp 嬉しい時は取れそうなくらいシッポ振ります😆","2021-02-19 06:02 +0000","27.0","2.0","0.07407407407407407","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1362395010377818112","https://twitter.com/haruchannna/status/1362395010377818112","@nao2witter よろしくお願いします😆
いつも全力で遊んでます🤩","2021-02-18 13:34 +0000","40.0","1.0","0.025","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
